noserie,vitessecd,memoire,slotram,slotramlibre,cpu,hdd,ip,codos_installer,codos_etiquette
0107898349890528,48,1024,NULL,NULL,"INTEL PENTIUM","40 GO",,WXP,WXP
10qts81,48,1024,NULL,NULL,"P4 2.8 GHZ",148GO,,W07,WXP
11s0b66239zvj7dz25m01z,48,4096,NULL,NULL,"INTEL CORE I5",500,,W08,W07
11s0b66239zvj7dz25m22w,48,4096,NULL,NULL,"INTELCORE I5",105,,W07,W07
11s41a7861zvq05m76y0se,NULL,NULL,NULL,NULL,,,,W07,VIS
11s41r6171zvj2rm78md18,NULL,NULL,NULL,NULL,,,,W07,VIS
11s41r6449zvj3ph99a0mn,NULL,NULL,NULL,NULL,,N\A,,W07,VIS
11s45k6238zvj56r0bn0sw,48,4000,NULL,NULL,"INTEL CORE 2 DUO","250 GO",,W07,W07
12zccb1,48,2560,NULL,NULL,"P4 2.8 GHZ","80 GO",,W07,WXP
13zhpc1,48,2560,NULL,NULL,"INTEL CORE 2",80,,W07,WXP
1500801ea,48,2048,NULL,NULL,"DUAL 2 CORE","250 GO",,W07,VIS
1b089571h,48,4000,NULL,NULL,"INTEL I5","300 GO",,W07,W07
1C7ZR32,48,8000,NULL,NULL,"Intel i5",500,,W07,W07
1d5hfc1,48,2560,NULL,NULL,"INTEL CORE 2",80,,W07,WXP
1f5hfc1,48,2560,NULL,NULL,"INTEL CORE 2",80,,W07,WXP
1gstt511gstt51,48,1024,NULL,NULL,"P4 2.8ghz","40 GO",,WXP,WXP
1s23946G7PK2DMVD,48,16384,NULL,NULL,"INTEL CORE I7","320 GO",,W07,W08
1S23946G7PK2DMVE,48,16384,NULL,NULL,"INTEL CORE I7","320 GO",,W07,W08
1S24785k7pk29m1a,48,8000,NULL,NULL,"INTEL I5",300,,W07,W07
1s6075bhflkahgfm,48,2048,NULL,NULL,"INTEL DUAL 2 CORE",80,,W07,VIS
1s6075bhflkahggd,48,2048,NULL,NULL,"INTEL DUAL 2 CORE",80,,W07,VIS
1s6075bhflkahggy,48,3072,NULL,NULL,"INTEL DUAL 2 CORE",80,,W07,VIS
1s6075bhflkahgkn,48,2048,NULL,NULL,"INTEL DUAL 2 CORE",80,,W07,VIS
1s6075bhflkahgkt,48,2048,NULL,NULL,"INTEL CORE 2 DUO",80,,W07,VIS
1s6075bhflkahglt,48,2048,NULL,NULL,"INTEL CORE 2 DUO",80,,W07,VIS
1s6075bhflkahgmk,48,2048,NULL,NULL,"INTEL DUAL 2 CORE",80,,W07,VIS
1s6075bhflkahgmt,48,2048,NULL,NULL,"INTEL DUAL 2 CORE",80,,W07,VIS
1s7360d3fmjbda41,48,2048,NULL,NULL,"INTEL CORE 2 DUO",150,,W07,VIS
1s7360d3fmjbda54,48,2048,NULL,NULL,"INTEL CORE 2 DUO",150,,W07,VIS
1s7360d3fmjbda55,48,2048,NULL,NULL,"INTEL CORE 2 DUO",150,,W07,VIS
1s7360d3fmjbda56,48,2048,NULL,NULL,"INTEL CORE 2 DUO",150,,W07,VIS
1s7360d3fmjbda57,48,2048,NULL,NULL,"INTEL CORE 2 DUO",150,,W07,VIS
1s7360d3fmjbda59,48,2048,NULL,NULL,"INTEL CORE 2 DUO",150,,W07,VIS
1s7360d3fmjbda60,48,2048,NULL,NULL,"INTEL CORE 2 DUO",150,,W07,VIS
1s7360d3fmjbda61,48,2048,NULL,NULL,"INTEL CORE 2 DUO",150,,W07,VIS
1s7360d3fmjbda64,48,2048,NULL,NULL,"INTEL CORE 2 DUO",150,,W07,VIS
1s7360d3fmjgeg56,48,2048,NULL,NULL,"CORE 2 DUO","250 GO",,W07,VIS
1s7360d3fmjzg801,48,2048,NULL,NULL,"INTEL CORE 2 CUO","80 GO",,W07,VIS
1s7360d3fmjzg803,48,2048,NULL,NULL,"INTEL CORE 2 DUO",150,,W07,VIS
1s7360d3fmjzg804,48,2048,NULL,NULL,"INTEL CORE 2 DUO",150,,W07,VIS
1s7360d3fmjzg805,48,2048,NULL,NULL,"INTEL CORE 2 DUO",150,,W07,VIS
1s7360d3fmjzg809,48,2048,NULL,NULL,"INTEL CORE 2 DUO",150,,W07,VIS
1s7360d3fmjzg811,48,2048,NULL,NULL,"INTEL CORE 2 DUO",150,,W07,VIS
1s7360d3fmjzg813,48,2048,NULL,NULL,"INTEL CORE 2 DUO",150,,W07,VIS
1s7360d3fmjzg814,48,2048,NULL,NULL,"INTEL CORE 2 DUO",150,,W07,VIS
1s7360d3fmjzg817,48,2048,NULL,NULL,"INTEL CORE 2 DUO",150,,W07,VIS
1s7360d3fmjzh937,48,2048,NULL,NULL,"INTEL CORE 2 DUO","150 GO",,W07,VIS
1s7360d3fmjzh949,48,2048,NULL,NULL,"INTEL CORE 2 DUO",150,,W07,VIS
1s7360d3fmjzh953,48,2048,NULL,NULL,"INTEL CORE 2 DUO",150,,W07,VIS
1s7360d3fmjzh964,48,2048,NULL,NULL,"INTEL CORE 2 DUO",150,,W07,VIS
1s7360d3fmjzh991,48,2048,NULL,NULL,"INTEL CORE 2 DUO",150,,W07,VIS
1s7360d3fmjzm588,48,2048,NULL,NULL,"INTEL CORE 2 DUO",150,,W07,VIS
1s7360d3fmjzm638,48,2048,NULL,NULL,"INTEL CORE 2 DUO",150,,W07,VIS
1s7360ehfmjcfzc0,48,2048,2,2,"INTEL 2 DUAL CORE 2.8",80,,W07,W07
1s7360ehfmjfecr4,48,4000,NULL,NULL,"INTEL CORE 2 DUO ","250 GO",,W07,W07
1s7360ehfmjfecr8,48,4000,NULL,NULL,"INTEL CORE 2 DUO ","250 GO",,W07,W07
1S7373EGFMJGBTR4,48,4096,NULL,NULL,"INTEL CORE 2 DUO",80,,W07,W07
1s7483ahfmj06188,48,2048,NULL,NULL,"INTEL CORE 2 DUO","250 GO",,W07,VIS
1s7483ahfmj06190,48,4096,NULL,NULL,"CORE 2 DUO",,,W07,VIS
1s7483ahfmj12791,48,4096,4,0,"CORE 2 DUO","150 GO",,W07,VIS
1s7483ahfmj12792,48,2048,NULL,NULL,"INTEL CORE 2 DUO","250 GO",,W07,VIS
1s7483ahfmj12793,48,4096,2,2,"INTEL CORE 2 DUO",250,10.20.24.39,W07,VIS
1s7483ahfmj53394,48,2048,NULL,NULL,"DUAL 2 CORE",250,,W07,VIS
1s7483ahfmj53396,48,2048,NULL,NULL,"DUAL 2 CORE","250 GO",,W07,VIS
1s7483ahfmj76403,48,2048,NULL,NULL,"INTEL CORE 2 DUO","250 GO",,W07,VIS
1s7483ahfmj76407,48,2048,NULL,NULL,"INTEL CORE 2 DUO","250 GO",,W07,VIS
1s7483ahfmj76408,48,2048,NULL,NULL,"INTEL CORE 2 DUO","250 GO",,W07,VIS
1s7483ahfmj76411,48,2048,NULL,NULL,"CORE 2 DUO","250 GO",,WXP,VIS
1s7483ahfmjgc331,48,2048,NULL,NULL,"INTEL CORE 2 DUO","250 GO",,W07,VIS
1s7483anfmj03787,NULL,4096,NULL,NULL,"INTEL CORE 2 DUO",250,,W07,VIS
1s8810v6glkxtrw0,48,2048,NULL,NULL,"INTEL CORE 2 DUO","80 GO",,W07,VIS
1s8810v6glkxttb3,48,2048,NULL,NULL,"INTEL CORE 2 DUO","80 GO",,W07,VIS
1s8811gaulkpxmp3,48,3072,NULL,NULL,"INTEL CORE 2 DUO",250,,W07,VIS
1S90S32,48,8000,NULL,NULL,"Intel i5",500,,W07,W07
1s9174ac1lklgnlx,48,4000,NULL,NULL,"INTEL CORE 2 CUO","150 GO",,W07,VIS
1s9181a83lklgnfy,48,8,NULL,NULL,"INTEL DUAL 2 CORE",150,,W07,VIS
1s9181a83mj00188,48,2048,NULL,NULL,"INTELDUAL 2 CORE",150,,W07,VIS
1s9181a84lklgmwa,48,2048,NULL,NULL,"INTEL CORE 2 DUO","150 GO",,W07,VIS
1s9181a84lklgmxz,48,2048,NULL,NULL,"INTEL CORE 2 DUO","150 GO",,W07,VIS
1s9181a84lklgmyf,48,2048,NULL,NULL,"INTEL CORE 2 DUO","150 GO",,W07,VIS
1s9181a84lklgmyz,48,2048,NULL,NULL,"CORE 2 DUO",150,,W07,VIS
1s9181a84lklgmzk,48,2048,NULL,NULL,"INTEL CORE 2 DUO","150 GO",,W07,VIS
1s9181a84mj00221,48,2048,NULL,NULL,"INTEL CORE 2 DUO",150GO,,W07,WXP
1SK62B1,NULL,NULL,NULL,NULL,,,,VIS,VIS
1XJ1921,48,1024,NULL,NULL,"P4 1.8ghz",40,,WXP,WXP
1zpts81,48,1024,NULL,NULL,"P4 2.8 GHZ",148GO,,W07,WXP
20qts81,48,2560,NULL,NULL,"P4 2.8 GHZ","80 GO",,W07,WXP
2231S32,48,8000,NULL,NULL,"Intel i5",500,,W07,W07
23C50P1,NULL,6000,NULL,NULL,"i5 M520 2.4Ghz",250,,W07,W07
283NR52,48,16,NULL,NULL,"Intel i7",500,,W07,W07
283PR52,48,16,NULL,NULL,"Intel i7",500,,W07,W07
283QR52,48,16,NULL,NULL,"Intel i7",500,,W07,W07
283SR52,48,16,NULL,NULL,"Intel i7",500,,W07,W07
284NR52,48,16,NULL,NULL,"Intel i7",500,,W07,W07
284RR52,48,16,NULL,NULL,"Intel i7",500,,W07,W07
285PR52,48,16,NULL,NULL,"Intel i7",500,,W07,W07
285QR52,48,16,NULL,NULL,"Intel i7",500,,W07,W07
285RR52,48,16,NULL,NULL,"Intel i7",500,,W07,W07
285SR52,48,16,NULL,NULL,"Intel i7",500,,W07,W07
286NR52,48,16,NULL,NULL,"Intel i7",500,,W07,W07
286PR52,48,16,NULL,NULL,"Intel i7",500,,W07,W07
286QR52,48,16,NULL,NULL,"Intel i7",500,,W07,W07
286RR52,48,16,NULL,NULL,"Intel i7",500,,W07,W07
28a7130cfd,48,2048,NULL,NULL,"INTEL CORE 2 DUO",80,,W07,WXP
29C50P1,NULL,3072,NULL,NULL,"i5 M520 2.4Ghz",160Go,,W07,W07
2blgfc1,48,2560,NULL,NULL,"INTEL CORE 2",80,,W07,WXP
2C317684Q,NULL,NULL,NULL,NULL,,,,W07,W07
2DHQR52,48,16,NULL,NULL,"Intel i7",500,,W07,W07
2m5hfc1,48,2560,NULL,NULL,"INTEL CORE 2",80,,W07,WXP
2nk62b1,48,2048,NULL,NULL,P4,"80 GO",,W07,WXP
2R40S32,48,8000,NULL,NULL,"Intel i5",500,,W07,W07
2ua33801n4,48,2048,NULL,NULL,"P4 2.5GHZ","40 GO",,WXP,WXP
2UA7010971C,48,2048,NULL,NULL,"INTEL CORE 2 DUO","80 GO",,W07,WXP
2ua703032p,48,2048,NULL,NULL,"INTEL CORE 2 DUO","80 GO",,W07,WXP
2UA7061M0B,48,2048,NULL,NULL,"INTEL CORE 2 DUO","80 GO",,W07,WXP
2UA7091107,48,2048,NULL,NULL,"INTEL CORE 2 DUO","80 GO",,W07,WXP
2UA7170MM3,48,2048,NULL,NULL,"INTEL CORE 2 DUO","80 GO",,W07,WXP
2ua7170mn5,48,2048,NULL,NULL,"INTEL CORE 2 DUO","80 GO",,W07,WXP
2ua7180bhp,48,2048,NULL,NULL,"INTEL CORE 2 DUO","80 GO",,W07,WXP
2ua7190dts,48,2048,NULL,NULL,"INTEL CORE 2 DUO","80 GO",,W07,WXP
2ua7210vq3,48,1024,1,3,"INTEL 2 DUAL",80,,W07,WXP
2ua7290bm2,48,2048,NULL,NULL,"INTEL CORE 2 DUO",80,,W07,WXP
2ua7320rjb,48,2048,NULL,NULL,"INTEL DUAL 2 CORE",80,,W07,WXP
2ua7361764,48,2048,NULL,NULL,"INTEL CORE 2 DUO","80 GO",,W07,WXP
2UA7370LQY,48,2048,NULL,NULL,"INTEL CORE 2 DUO",80,,W07,WXP
2ua7420lmg,48,2048,NULL,NULL,"DUAL CORE",80GO,,W07,WXP
2UA742162W,48,2048,NULL,NULL,"INTEL CORE 2 DUO",80,,W07,WXP
2UA74216M4,48,2048,NULL,NULL,"INTEL CORE 2 DUO",80,,W07,WXP
2UA7430GWW,48,2048,NULL,NULL,"INTEL CORE 2 DUO",80,,W07,WXP
2UA7440M3X,NULL,NULL,NULL,NULL,,,,VIS,VIS
2ua7440m65,48,2048,2,2,"INTEL 2 DUAL",80,,W07,WXP
2ua7440m9k,48,2048,NULL,NULL,"INTEL CORE 2 DUO",80,,W07,WXP
2ua74811js,48,2048,NULL,NULL,"INTEL CORE 2 DUO",80,,W07,WXP
2ua74811kf,48,2048,NULL,NULL,"INTEL CORE 2 DUO","80 GO",,W07,VIS
2ua8130ptg,48,1024,1,3,"INTEL CORE 2 DUO",,,W07,VIS
2UA9301DBG,48,4096,NULL,NULL,"CORE  2 DUO 2,8GHZ ",80GO,,W07,VIS
2UA9301DBL,48,4096,NULL,NULL,"CORE  2 DUO 2,8GHZ ",80GO,,W07,VIS
2UA93405TL,48,4096,NULL,NULL,"CORE  2 DUO 2,8GHZ ",80GO,,W07,VIS
2UA9360R1H,48,4096,NULL,NULL,"CORE  2 DUO 2,8GHZ ",80GO,,W07,VIS
2UA9360R1R,48,4096,NULL,NULL,"CORE  2 DUO 2,8GHZ ",80GO,,W07,VIS
2UA9360R1T,48,4096,NULL,NULL,"CORE  2 DUO 2,8GHZ ",80GO,,W07,VIS
2UA9360R1V,48,4096,NULL,NULL,"CORE  2 DUO 2,8GHZ ",80GO,,W07,VIS
2UA9360R22,48,4096,NULL,NULL,"CORE  2 DUO 2,8GHZ ",80GO,,W07,VIS
2UA9360R23,48,4096,NULL,NULL,"CORE  2 DUO 2,8GHZ ",80GO,,W07,VIS
2UA9360R2H,48,4096,NULL,NULL,"CORE  2 DUO 2,8GHZ ",80GO,,W07,VIS
2UA9360R2R,48,4096,NULL,NULL,"CORE  2 DUO 2,8GHZ ",80GO,,W07,VIS
2UA9360R3S,48,4096,NULL,NULL,"CORE  2 DUO 2,8GHZ ",80GO,,W07,VIS
2UA9360R4R,48,4096,NULL,NULL,"CORE  2 DUO 2,8GHZ ",80GO,,W07,VIS
2UA9360R4S,48,4096,NULL,NULL,"CORE  2 DUO 2,8GHZ ",80GO,,W07,VIS
2UA9360R62,48,4096,NULL,NULL,"CORE  2 DUO 2,8GHZ ",80GO,,W07,VIS
2UA9360R6C,48,4096,NULL,NULL,"CORE  2 DUO 2,8GHZ ",80GO,,W07,VIS
2UA9360R6J,48,4096,NULL,NULL,"CORE  2 DUO 2,8GHZ ",80GO,,W07,VIS
2UA9360R72,48,4096,NULL,NULL,"CORE  2 DUO 2,8GHZ ",80GO,,W07,VIS
2UA9360R79,48,4096,NULL,NULL,"CORE  2 DUO 2,8GHZ ",80GO,,W07,VIS
2UA9360R7Z,48,4096,NULL,NULL,"CORE  2 DUO 2,8GHZ ",80GO,,W07,VIS
2UA9360R87,48,4096,NULL,NULL,"CORE  2 DUO 2,8GHZ ",80GO,,W07,VIS
2UA9360R8W,48,4096,NULL,NULL,"CORE  2 DUO 2,8GHZ ",80GO,,W07,VIS
2UA9360R91,48,4096,NULL,NULL,"CORE  2 DUO 2,8GHZ ",80GO,,W07,VIS
2UA9360R92,48,4096,NULL,NULL,"CORE  2 DUO 2,8GHZ ",80GO,,W07,VIS
2UA9360R9Q,48,4096,NULL,NULL,"CORE  2 DUO 2,8GHZ ",80GO,,W07,VIS
2UA9360R9T,48,4096,NULL,NULL,"CORE  2 DUO 2,8GHZ ",80GO,,W07,VIS
2UA9360R9X,48,4096,NULL,NULL,"CORE  2 DUO 2,8GHZ ",80GO,,W07,VIS
2UA9360RBK,48,4096,NULL,NULL,"CORE  2 DUO 2,8GHZ ",80GO,,W07,VIS
2UA9360RBZ,48,4096,NULL,NULL,"CORE  2 DUO 2,8GHZ ",80GO,,W07,VIS
2UA9360RC1,48,4096,NULL,NULL,"CORE  2 DUO 2,8GHZ ",80GO,,W07,VIS
2UA9360RCW,48,4096,NULL,NULL,"CORE  2 DUO 2,8GHZ ",80GO,,W07,VIS
2UA9360RFD,48,4096,NULL,NULL,"CORE  2 DUO 2,8GHZ ",80GO,,W07,VIS
2UA9360RFR,48,4096,NULL,NULL,"CORE  2 DUO 2,8GHZ ",80GO,,W07,VIS
2UA936153Z,48,4096,NULL,NULL,"CORE  2 DUO 2,8GHZ ",80GO,,W07,VIS
2xr42c1,NULL,NULL,NULL,NULL,"INTEL CORE DUO",,,VIS,WXP
2ZPTS81,48,2560,NULL,NULL,"P4 2.8 GHZ",150gO,,W07,WXP
30qts81,48,2048,NULL,NULL,"P4 2.8 GHZ","150 GO",,W07,WXP
315ZK91,NULL,2048,NULL,NULL,"Pentium 4 Dual",80Go,,W07,W07
31JZR32,48,8000,NULL,NULL,"Intel i5",500,,W07,W07
35JZR32,48,8000,NULL,NULL,"Intel i5",500,,W07,W07
36b43d1,48,4096,NULL,NULL,"CORE 2 DUO",80GO,,W07,WXP
3d5hfc1,48,2560,NULL,NULL,"INTEL CORE 2",80,,W07,WXP
3H2WRM1,NULL,6000,NULL,NULL,"i5 M520 2.4Ghz",250Go,,W07,W07
3KS0S32,48,8000,NULL,NULL,"Intel i5",500,,W07,W07
3mcsx11,48,512,NULL,NULL,"P4 1.8ghz",20GO,,WXP,WXP
3pk62b1,48,2048,NULL,NULL,"P4 2.8ghz",80GO,,WXP,WXP
3qk62b1,NULL,2048,NULL,NULL,"PENTIUM 4","80 GO",,W07,WXP
3S81RM1,NULL,6000,NULL,NULL,"i5 M520 2.4Ghz",250Go,,W07,W07
40qts81,48,2560,NULL,NULL,"P4 2.8 GHZ","150 GO",,W07,WXP
46b43d1,48,2048,NULL,NULL,"P4 2.8ghz",80GO,,W07,WXP
49lgfc1,48,2560,NULL,NULL,"INTEL CORE 2",80,,W07,WXP
4B1YWN1,NULL,3072,NULL,NULL,"i5 M520 2.4Ghz",160Go,,W07,W07
4B3YX11,48,1024,NULL,NULL,"P4 1.8ghz",40,,WXP,WXP
4DCZR32,48,8000,NULL,NULL,"Intel i5",500,,W07,W07
4GCZR32,48,8000,NULL,NULL,"Intel i5",500,,W07,W07
4JK1S32,48,8000,NULL,NULL,"Intel i5",500,,W07,W07
4m5hfc1,48,2560,NULL,NULL,"INTEL CORE 2",80,,W07,WXP
